time , latitude , longitude , elevation, acceleration 
22-12-02 15:08:17,3.4406411567532076,-58.460348944761506,419325.07684439677,9.893459842120619 
22-12-02 15:08:22,3.6973630819600816,-58.27865498433268,419282.95589897694,9.905583849073015 
22-12-02 15:08:27,3.9543718553706655,-58.09660714881748,419241.4061927456,9.905418057038942 
22-12-02 15:08:32,4.210814619188445,-57.914799171152495,419200.56469725067,9.912693194481664 
22-12-02 15:08:37,4.46686844619122,-57.73309579778843,419160.399810576,9.905424775748125 
22-12-02 15:08:42,4.7231718681465304,-57.55103339279084,419120.81085222337,9.89350564216577 
22-12-02 15:08:47,4.9794058751861385,-57.36882767215122,419081.8476690356,9.893582892685227 
22-12-02 15:08:52,5.235677416238792,-57.186391872399696,419043.49374840467,9.903199094199037 
22-12-02 15:08:57,5.492127211027289,-57.00361474684789,419005.72861314955,10.711417437581558 
22-12-02 15:09:02,5.7484384459064275,-56.82071118255678,418968.5988082054,9.071708292927479 
22-12-02 15:09:07,6.004425969024216,-56.63780302139214,418932.12918230105,11.417326406087918 
22-12-02 15:09:12,6.260529527019745,-56.45456539664566,418896.25597183313,13.792429937770576 
